y_index,x_index,category,x_log,y_log,type,x_unit,y_unit,lm_method,x_min,x_max,do_normalize,forced_jitter_x
sales.12wk,n.words.content,15_輕小說,F,T,xy,,,loess,30,1200,T,
sales.12wk,n.words.content,01_文學小說,F,T,xy,,,loess,30,1200,T,
sales.12wk,n.enhanced.content,01_文學小說,F,T,xy,,,loess,0,10,T,0.5
sales.12wk,n.enhanced.content,05_社會科學,F,T,xy,,,loess,0,10,T,0.5
sales.12wk,is.translated,,F,F,box,,,,,,T,
sales.12wk,is.color.printed,,F,F,box,,,,,,T,
sales.12wk,is.pub.in.spring,,F,F,box,,,,,,T,
sales.12wk,n.page,01_文學小說,F,T,xy,,,loess,100,800,T,
sales.12wk,n.page,19_電腦資訊,F,T,xy,,,loess,100,800,T,
sales.12wk,price.set,01_文學小說,F,T,xy,,,loess,100,800,T,
sales.12wk,price.set,19_電腦資訊,F,T,xy,,,loess,250,800,T,
sales.12wk,price.per.page.nc.p,09_飲食,F,T,xy,,,loess,0.8,2,T,
sales.12wk,price.per.page.nc.p,07_心理勵志,F,T,xy,,,loess,0.4,2,T,
sales.12wk,has.okapi,,F,F,box,,,,,,T,
sales.12wk,n.recommend.content,06_自然科普,F,T,xy,,,loess,0,5,T,
sales.12wk,n.authorize.content,02_商業理財,F,T,xy,,,loess,0,6,T,0.5
sales.12wk,n.touching.content,13_親子教養,F,T,xy,,,loess,0,5,T,0.5
hl.75,n.words.content,01_文學小說,F,F,xy,,(天),loess,10,1200,T,0.5
hl.75,n.enhanced.content,01_文學小說,F,F,xy,,(天),loess,0,10,T,0.5
hl.75,n.page,01_文學小說,F,F,xy,,(天),loess,100,800,T,
hl.75,has.okapi,,F,F,box,,(天),,,,T,
hl.75,price.set,01_文學小說,F,F,xy,,(天),loess,100,1000,T,
diversity,n.words.author,11_旅遊,F,T,xy,,(%),loess,30,600,T,
diversity,n.words.author,01_文學小說,F,T,xy,,(%),loess,30,750,T,
diversity,n.words.title,15_輕小說,F,F,xy,,(%),loess,0,20,T,
diversity,n.words.content,06_自然科普,F,T,xy,,(%),loess,30,1200,T,
diversity,n.words.tb,19_電腦資訊,F,T,xy,,(%),loess,30,500,T,
diversity,n.page,19_電腦資訊,F,F,xy,,(%),loess,100,800,T,
diversity,n.page,17_語言學習,F,F,xy,,(%),loess,50,800,T,
diversity,n.page,14_童書/青少年文學,F,F,xy,,(%),loess,10,500,T,
diversity,is.color.printed,,F,F,box,,(%),,,,T,
diversity,price.per.page.c.p,14_童書/青少年文學,F,F,xy,,(%),loess,0.1,9,T,
diversity,price.set,19_電腦資訊,F,T,xy,,(%),loess,250,800,T,
